training,test
0.7982759636672812,0.7912668613544709
0.7963482081975907,0.7848699763593381
0.797939237821047,0.7884856070087609
0.7919960266350144,0.7994715616743151
0.7988063068750999,0.7869559171186205
0.7977961293363975,0.7919621749408984
0.7969795691592797,0.7897371714643304
0.7984190721519306,0.7838965373383396
0.7943531075586534,0.783757474621054
0.7944457071663679,0.7957168683076068
0.7975014942209426,0.7872340425531915
0.7947403422818227,0.7890418578779029
0.7932419122660808,0.7973856209150327
0.7980991825980083,0.7863996662494785
0.7923327524812486,0.7955778055903212
0.7985621806365802,0.790154359616187
0.7991767053059575,0.788485607008761
0.7971310957900851,0.7886246697260465
0.7996902122214645,0.78765123070504794
0.7923580069197161,0.7965512446113197
0.7993366500829188,0.788485607008761
0.7993366500829188,0.7840356000556251
0.7976361845594363,0.7877902934223335
0.7902029615038176,0.7982199972187456
0.8009697704371543,0.787373105270477
0.7911373757271174,0.7854262272284801
0.7970384961823707,0.787929356139619
0.7915751193272218,0.7937699902656098
0.7980486737210731,0.7890418578779029
0.8020893838758828,0.785148101793909
