training,test
0.7871640107415545,0.7861215408149075
0.7900851074576357,0.8000278125434571
0.7914320108425722,0.7964121818940342
0.785236255271864,0.7834793491864831
0.7888308036804135,0.7980809345014601
0.7925852968659242,0.7936309275483243
0.7901440344807267,0.7954387428730357
0.7906154506654545,0.7966903073286052
0.79121313904252,0.7987762480878876
0.7922990798966252,0.7958559310248923
0.7931240582198988,0.7926574885273259
0.7920633718042612,0.7983590599360312
0.7930062041737168,0.7915449867890418
0.7896978727344665,0.7979418717841746
0.7901692889191942,0.7971074954804617
0.7911205394348056,0.7908496732026143
0.7857834347719945,0.78542622722848
0.7893443105959206,0.7933528021137534
0.7869703933799699,0.7848699763593381
0.7917266459580271,0.7883465442914754
0.7883088786187505,0.7965512446113197
0.7854214544872928,0.787929356139619
0.7927031509121061,0.785982478097622
0.7901692889191942,0.7914059240717564
0.7896894545883105,0.7966903073286052
0.7894790009344143,0.7955778055903212
0.7915246104502867,0.7964121818940342
0.7861201606182286,0.7875121679877625
0.7923580069197161,0.7925184258100403
0.7888981488496604,0.7968293700458907
