training,test
0.7378209585377007,0.7868555924027736
0.7356598324970716,0.783639835192443
0.7350772680861193,0.7817304793488091
0.7324588603035599,0.774696010451211
0.7299719993234736,0.7721837001306401
0.737213337592944,0.7869560848155964
0.7360482087710396,0.7830368807155059
0.7327720669761149,0.7831373731283288
0.7328848213782346,0.7709777911767661
0.7342754590043786,0.7832378655411516
0.7346387787445424,0.7820319565872776
0.7374137898633792,0.780022108330821
0.734864287548782,0.7805245703949352
0.736261189308377,0.7888654406592303
0.7361609631731595,0.7827354034770375
0.737088054923922,0.7843432820822028
0.7361045859720996,0.7776102904230731
0.7347765896804666,0.7743945332127424
0.7359041337016644,0.7825344186513918
0.7331353867162786,0.778816199376947
0.7326593125739951,0.7810270324590494
0.7372759789274551,0.7838408200180886
0.7345322884758737,0.7810270324590494
0.7324150113694022,0.7693699125716008
0.7360419446375885,0.7809265400462265
0.7376894117352276,0.7862526379258366
0.738979823226154,0.7821324490001005
0.7363426230432413,0.7815294945231634
0.7382343913454732,0.7835393427796201
0.7378209585377007,0.7769068435333132
