training,test
0.7130005392059483,0.6561264822134387
0.7282875008277284,0.6709486166007905
0.7279280301955331,0.6582439299830604
0.719802101957223,0.6492094861660079
0.7333673884458571,0.6717955957086392
0.7378229323343833,0.6740542066629023
0.6964175913575692,0.6458215697346132
0.715545212891752,0.6643139469226426
0.7149114094086708,0.6523150762281197
0.7255536320723482,0.6516092603049125
0.7324781716188477,0.6605025409373235
0.7138708365260001,0.6496329757199323
0.7353066379090161,0.6662902315076228
0.5999186461200822,0.49632975719932243
0.7271617901637484,0.6614906832298136
0.7173236465457711,0.6462450592885376
0.725345517495814,0.65527950310559
0.730680818457871,0.6630434782608695
0.7354390744577196,0.6717955957086392
0.7280320874838002,0.6722190852625635
0.7388729649705329,0.661914172783738
0.7381351041991846,0.6620553359683794
0.7187615290745523,0.6612083568605308
0.7281266850185885,0.6664313946922642
0.7163965907048462,0.6503387916431395
0.7287699482551485,0.6681253529079616
0.7262063550623871,0.6603613777526821
0.7330835958414924,0.66600790513834
0.7400648939088648,0.6692546583850931
0.734616075905062,0.6665725578769057
