training,test
0.711241025058887,0.6311405985319029
0.7084125587687184,0.6290231507622812
0.7084220185221973,0.6226708074534162
0.7027272469279451,0.5993788819875776
0.7093774536235585,0.6250705815923208
0.7086679721126468,0.6208356860530774
0.7111275080171411,0.6297289666854884
0.7041272904428111,0.6101072840203275
0.7062746544825041,0.620694522868436
0.7059151838503088,0.6174477696216827
0.7061611374407583,0.6225296442687747
0.7030867175601404,0.6257763975155279
0.7037489003036581,0.6182947487295314
0.7079679503552138,0.6348108413325805
0.7016488350313591,0.6058723884810842
0.7070314347608101,0.6245059288537549
0.7077692955321584,0.620412196499153
0.70542327666941,0.6256352343308865
0.7065489873333901,0.6181535855448899
0.7074287444069207,0.6188594014680971
0.7044394623076122,0.6075663466967814
0.7107207386175516,0.6332580463015246
0.7033421309040686,0.6221061547148503
0.7149492484225861,0.6304347826086957
0.7034651076992934,0.6132128740824393
0.7096328669674868,0.6150479954827781
0.7063030337429407,0.6405985319028797
0.7069084579655854,0.6129305477131565
0.7029542810114369,0.6026256352343309
0.7014974789756979,0.5966967814793902
