training,test
0.7786616635397123,0.7607548701298701
0.827754846779237,0.786525974025974
0.8263164477798625,0.7894683441558442
0.824771732332708,0.7911931818181819
0.795240775484678,0.7722199675324676
0.8247467166979362,0.7932224025974026
0.8239649781113195,0.7939326298701299
0.7963289555972483,0.770900974025974
0.8235084427767354,0.7956574675324676
0.794953095684803,0.7743506493506493
0.8267604752970606,0.7907873376623377
0.7759662288930581,0.7644074675324676
0.7968792995622264,0.7705965909090909
0.824953095684803,0.7929180194805194
0.8248280175109444,0.791599025974026
0.7955972482801751,0.773336038961039
0.7960537836147592,0.7712053571428571
0.7943214509068167,0.7721185064935066
0.7957535959974984,0.7722199675324676
0.8249218261413384,0.7913961038961039
0.7990181363352095,0.7696834415584416
0.7954784240150093,0.7697849025974026
0.798974358974359,0.7718141233766234
0.7955222013758599,0.7698863636363636
0.8252470293933709,0.7912946428571429
0.8293996247654785,0.7897727272727273
0.8253658536585365,0.7934253246753247
0.7970231394621639,0.7701907467532467
0.8266604127579738,0.7894683441558442
0.8191744840525328,0.7934253246753247
