training,test
0.7530889844286283,0.7032620614035088
0.7519238411792334,0.7058662280701754
0.7520322265977817,0.6954495614035088
0.7558347483651866,0.7060032894736842
0.7362802124354203,0.6721491228070176
0.7547599262979154,0.7123081140350878
0.7574334332887749,0.7075109649122807
0.7513999783229163,0.6975054824561403
0.7592850175223094,0.7040844298245614
0.7539018750677409,0.7083333333333334
0.7566566711225117,0.703125
0.7575327865891108,0.7110745614035088
0.7547599262979154,0.7188870614035088
0.75626829003938,0.7208059210526315
0.75940243505907,0.7062774122807017
0.7549044401893132,0.7135416666666666
0.7514993316232523,0.7046326754385965
0.7560334549658586,0.7081962719298246
0.7561328082661946,0.7106633771929824
0.7569908594963691,0.7042214912280702
0.7551754037356841,0.7147752192982456
0.7551392752628346,0.7136787280701754
0.7604411286534918,0.7084703947368421
0.7572347266881029,0.7072368421052632
0.7552295964449582,0.7020285087719298
0.7558528126016113,0.7099780701754386
0.754452834278695,0.7027138157894737
0.750722569456989,0.6929824561403509
0.7555095921095415,0.7138157894736842
0.7555818490552404,0.7062774122807017
