training,test
0.7869135738787301,0.7636
0.7870425295953369,0.7510666666666667
0.7856240167126609,0.7517333333333334
0.7834575606736647,0.7509333333333333
0.7872488587419081,0.7494666666666666
0.783191052192677,0.7534666666666667
0.7862773923434693,0.7474666666666667
0.7835435311514026,0.7502666666666666
0.7872832469330032,0.7478666666666667
0.7842312949733061,0.7498666666666667
0.7847299237441863,0.7536
0.7863977510123024,0.7462666666666666
0.7860710631968982,0.7524
0.7860452720535768,0.7461333333333333
0.7877474875127881,0.7502666666666666
0.7864235421556238,0.748
0.7845837739320317,0.7510666666666667
0.7845493857409366,0.7537333333333334
0.765790627498517,0.7653333333333333
0.7843258624988179,0.7464
0.784910461747436,0.7529333333333333
0.7873950085540625,0.7530666666666667
0.7920030261608164,0.7509333333333333
0.7882289221881206,0.7490666666666667
0.7794427393633027,0.7582666666666666
0.7886415804812628,0.7421333333333333
0.7798382035608972,0.7481333333333333
0.7865524978722307,0.75
0.7902406313671885,0.7497333333333334
0.7939373619099201,0.7468
